"","Date","max","min","mean","sd"
"S2020-06-05",2020-06-05,0.819635479814635,0.146539129407498,0.558335946528949,0.16829872300352
"S2020-06-10",2020-06-10,0.893278600808444,0.0753465676423574,0.595455599167605,0.193204067994831
"S2020-06-10.1",2020-06-10,0.875706418265276,0.151269723044701,0.598357715742652,0.180775171399869
"L2020-06-13",2020-06-13,0.911152237750136,0.131608514144705,0.588078441542332,0.195369488674265
"L2020-06-13.1",2020-06-13,0.887861857603458,0.182100546354132,0.590397450703323,0.183483587553479
"S2020-06-13",2020-06-13,0.886069028622399,0.169297121938314,0.602212346762651,0.18331692285342
"S2020-06-15",2020-06-15,0.897025167294093,0.108089221171163,0.579058653808886,0.192999955687598
"S2020-06-15.1",2020-06-15,0.876587751024246,0.161964471235829,0.582217186137067,0.179437562231592
"S2020-06-17",2020-06-17,0.885795855911794,0.110465145451108,0.584745167953611,0.18252103868768
"S2020-06-17.1",2020-06-17,0.869565296646158,0.166526304270019,0.586561702556842,0.170486081410204
"S2020-06-18",2020-06-18,0.901164062817183,0.124249111984086,0.585117224775751,0.194406734412209
"S2020-06-18.1",2020-06-18,0.886512749623565,0.167507295915992,0.590448849802168,0.181542522921993
"S2020-06-20",2020-06-20,0.885293428186896,0.176330480421937,0.611143834488501,0.176187344416726
"L2020-06-22",2020-06-22,0.886751805380038,0.180249241728786,0.594793413974901,0.176383934468698
"L2020-06-22.1",2020-06-22,0.904220772925339,0.136888049347887,0.591931158656679,0.187335729611399
"S2020-06-22",2020-06-22,0.901604277742489,0.150470241400675,0.604778373448201,0.188635780388103
"S2020-06-22.1",2020-06-22,0.888146687585316,0.177769676590575,0.603026667707679,0.174787753985178
"S2020-06-23",2020-06-23,0.901091558200815,0.0984029002987564,0.607252610234521,0.18814847843761
"S2020-06-23.1",2020-06-23,0.889308759274402,0.178238609380329,0.61004054073886,0.175784928609928
"S2020-06-27",2020-06-27,0.894314097146114,0.0922865247012918,0.603463666534425,0.180240128466746
"S2020-06-27.1",2020-06-27,0.880808226343034,0.190866766982961,0.602316762239601,0.167265330721061
"S2020-06-28",2020-06-28,0.894512970247437,0.140161736840776,0.58786606689925,0.18826506594116
